tap                                             fed                   real
L14.0 h                               1.93e-03 48.22%        3.27e-03 30.59%
L14.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        4.64e-03 38.86%
L14.1 attn_out                        1.92e-04 99.24%        8.04e-03 20.47%
L14.1 h                               4.03e-03 46.89%        6.40e-03 28.95%
L15.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.12e-03 34.94%
L15.0 attn_out                        2.09e-04 99.12%        1.04e-02 16.37%
L15.0 h                               7.84e-04 44.80%        1.43e-03 28.66%
L15.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.34e-03 33.57%
L15.1 attn_out                        1.98e-04 99.20%        1.04e-02 16.29%
L15.1 h                               4.29e-03 44.81%        7.44e-03 28.21%
L16.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.36e-03 33.43%
L16.0 attn_out                        2.00e-04 99.26%        1.10e-02 16.05%
L16.0 h                               7.84e-04 43.71%        1.46e-03 28.42%
L16.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.65e-03 31.91%
L16.1 attn_out                        2.20e-04 99.05%        1.12e-02 15.65%
L16.1 h                               4.04e-03 43.63%        7.38e-03 27.95%
L17.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.96e-03 29.55%
L17.0 attn_out                        2.39e-04 98.95%        1.18e-02 14.99%
L17.0 h                               8.11e-04 43.06%        1.53e-03 28.48%
L17.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        6.25e-03 28.52%
L17.1 attn_out                        2.18e-04 99.18%        1.20e-02 14.80%
L17.1 h                               4.07e-03 42.98%        7.51e-03 28.03%
L18.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.81e-03 30.07%
L18.0 attn_out                        2.11e-04 99.17%        1.06e-02 16.71%
L18.0 h                               8.78e-04 42.96%        1.70e-03 28.62%
L18.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        6.22e-03 28.63%
L18.1 attn_out                        2.24e-04 99.12%        1.09e-02 16.23%
L18.1 h                               3.92e-03 42.61%        7.49e-03 27.76%
L19.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        7.23e-03 34.71%
L19.0 attn_out                        2.00e-04 99.24%        1.23e-02 18.83%
L19.0 h                               1.06e-03 44.81%        1.93e-03 28.68%
L19.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.40e-03 33.93%
L19.1 attn_out                        2.06e-04 99.22%        9.41e-03 18.68%
L19.1 h                               3.56e-03 44.64%        7.59e-03 27.79%
L20.0 attn_o_pre_inverse_rope        0.00e+00 100.00%        6.16e-03 30.91%
L20.0 attn_out                        1.94e-04 99.28%        8.61e-03 21.13%
L20.0 h                               3.64e-04 45.16%        5.57e-04 27.88%
L20.1 attn_o_pre_inverse_rope        0.00e+00 100.00%        5.47e-03 31.53%
L20.1 attn_out                        2.05e-04 99.22%        7.97e-03 21.69%
L20.1 h                               3.84e-03 44.94%        7.65e-03 26.77%
